	x	y	theta	v	a	sigma	omega	t
36	-27.07350637839272	129.01245591726752	-3.4688880590966242	-1.8511512352918291	-0.42577929159679284	0.10042110674173409	-0.13904020620991875	2.3138153504657004
37	-26.960038413592493	128.97393289070357	-3.4748821926798112	-1.8775992654051668	-0.39714789066262085	0.09148462442338891	-0.38937636304147066	2.3780879990897477
38	-26.8452430892545	128.93419023221287	-3.4804177479249967	-1.9021943317287984	-0.36812455270859884	0.06645837425911501	-0.35638995594661366	2.442360647713795
39	-26.72923396192646	128.89330681699164	-3.484486309027219	-1.9249121619016598	-0.3387379202652579	0.04355224784741863	0.289253781340763	2.506633296337842
40	-26.61207427853959	128.85148128322916	-3.487182138420902	-1.9457303361681269	-0.3090169943909295	0.06214335449871049	-0.0804727237180827	2.5709059449618894
41	-26.493833328828888	128.80891001285775	-3.491072886404228	-1.9646283095036068	-0.2789911060512015	0.056971159403358125	-0.31730927685098914	2.6351785935859366
42	-26.37467197028708	128.765482897097	-3.4946737102693257	-1.9815874318899964	-0.2486898871727969	0.03657685174716397	-0.26436379892656714	2.699451242209984
43	-26.25470331471513	128.72127156445876	-3.4970039977347147	-1.9965909667209996	-0.21814324140043911	0.01958549018983844	0.25094561564548507	2.763723890834031
44	-26.133993438566634	128.67646730852167	-3.498260824105676	-2.0096241073191368	-0.18738131458556512	0.035714429567965916	-0.11963424872206646	2.8279965394580784
45	-26.01261799366399	128.63124236599134	-3.500568312135709	-2.020673991548147	-0.15643446503600966	0.028025219536450666	-0.25857599727454694	2.8922691880821256
46	-25.89073969228025	128.58550950383653	-3.5023886633905787	-2.0297297145063644	-0.1253332335560205	0.011405855321011115	-0.1589206570547804	2.956541836706173
47	-25.76846039911472	128.53937206993848	-3.5031326773828786	-2.03678233928854	-0.09410831330617259	0.0011916037710264986	0.22213373083460816	3.02081448533022
48	-25.64585210320707	128.49300626102223	-3.5032106734845345	-2.041824905805487	-0.06279051951292293	0.015468727000507958	-0.17772881677598315	3.0850871339542674
49	-25.52300584146712	128.4465395103763	-3.5042257620013926	-2.0448524376528496	-0.031410759057703394	0.004045625209497519	-0.2374609001372769	3.1493597825783146
50	-25.400084547045484	128.39990169549725	-3.5044916178331413	-2.045861947022213	0.0	-0.01121661578697565	-0.054167922450707236	3.213632431202362
51	-25.277175726205396	128.3532312296188	-3.503754133865195	-2.0448524376528496	0.03141075905770482	-0.014698131633344597	0.17592964745354825	3.277905079826409
52	-25.15435391793972	128.30669741403221	-3.5027881906786464	-2.041824905805487	0.06279051951292458	-0.003390667220010182	-0.24357801579766183	3.3421777284504564
53	-25.031729772906978	128.26037388861678	-3.5025657052716737	-2.0367823392885396	0.09410831330617424	-0.01904607144191593	-0.259501343043464	3.4064503770745036
54	-24.90945900158315	128.21421493964522	-3.501318899656602	-2.029729714506364	0.12533323355602213	-0.03572491008081684	0.0615609894877668	3.470723025698551
55	-24.78761525294788	128.1683906822227	-3.4989876414955057	-2.0206739915481466	0.15643446503601108	-0.031768222234520936	0.10584021696696481	3.534995674322598
56	-24.666269955736738	128.12307650519185	-3.4969240130801995	-2.0096241073191363	0.18738131458556653	-0.024965591159110283	-0.3194041751823729	3.5992683229466453
57	-24.545559034753445	128.07828284630241	-3.4953113519073655	-1.996590966720999	0.21814324140044072	-0.04549454347966057	-0.31630822404769177	3.6635409715706926
58	-24.42561964760515	128.0339954144843	-3.492390265612411	-1.9815874318899958	0.2486898871727985	-0.06582451082077427	0.16633481158610097	3.72781362019474
59	-24.306515463767624	127.99041130501617	-3.4881924344953976	-1.964628309503606	0.27899110605120303	-0.0551337319217537	0.05418448019922011	3.792086268818787
60	-24.18831216638802	127.94771864129783	-3.484707983607492	-1.945730336168126	0.3090169943909309	-0.05165115186503258	-0.3903842488254315	3.8563589174428343
61	-24.07116467551058	127.90586817967358	-3.481475433147311	-1.924912161901659	0.3387379202652593	-0.07674218151815217	-0.38298446048861284	3.9206315660668816
62	-23.95520100155441	127.86486284528974	-3.4767188509660807	-1.902194331728797	0.36812455270860034	-0.10135760717560709	0.13009784841258526	3.984904214690929
63	-23.84047798513214	127.8249091079226	-3.470501602394187	-1.8775992654051656	0.3971478906626222	-0.09299587387784043	0.1544093471748591	4.049176863314976
64	-23.72705849667352	127.78619832587653	-3.4648740793710133	-1.851151235291828	0.42577929159679395	-0.08307157616260226	-0.3957366682435328	4.113449511939023
65	-23.615115349909484	127.74869343452463	-3.459920818848763	-1.822876342401398	0.45399049977510303	-0.10850661998826983	-0.3853771176353144	4.17772216056307
66	-23.504747610496846	127.71232340184457	-3.453539377837171	-1.7928024906394895	0.48175367414105785	-0.13327582805779234	-0.1611694828100115	4.2419948091871165
67	-23.39604130728508	127.677268301473	-3.4458150245964565	-1.760959359266933	0.5090414157934461	-0.14363461759535956	0.326667531446618	4.306267457811163
68	-23.28906963380466	127.64368254069582	-3.4376302683977826	-1.727378373609925	0.535826795025746	-0.12263883012980632	-0.17717468993296637	4.37054010643521
69	-23.183974368164915	127.61162848463744	-3.430788054353571	-1.69209267404703	0.5620833779024921	-0.1340263167209423	-0.2074293975757337	4.434812755059257
70	-23.0808628841201	127.58094902901725	-3.4234560653938098	-1.655137083303623	0.5877852523463792	-0.14735835350562515	-0.1999722030156072	4.499085403683304
71	-22.97985848764861	127.5517008927813	-3.4155608415114127	-1.6165480720860659	0.6129070537103564	-0.16021109664462382	-0.10854891208852246	4.5633580523073505
72	-22.881060277250988	127.52393513902449	-3.407165940109606	-1.5763637230895247	0.6374239898094676	-0.16718782272981197	0.10901519544444369	4.627630700931397
73	-22.784572855051515	127.49769073786985	-3.3986166449973725	-1.5346236934149435	0.6613118653877486	-0.16018112737832946	0.1361253208841755	4.691903349555444
74	-22.690514214102524	127.4729686054767	-3.3906487019579985	-1.491369175432279	0.6845471059960206	-0.15143199246030523	0.13241138763595048	4.756175998179491
75	-22.598999185422237	127.44969297815516	-3.3833350115091108	-1.4466428561286	0.7071067812570269	-0.14292156186895733	0.12840124108639814	4.820448646803538
76	-22.510150321957667	127.42778602978706	-3.3766450055209614	-1.400488874981186	0.7289686274949474	-0.13466887401771974	-0.19621511920447549	4.8847212954275845
77	-22.424083960913155	127.40717493877531	-3.3705471142986916	-1.3529527803971932	0.7501110697069568	-0.14728013942907445	-0.4306554482635935	4.948993944051631
78	-22.340910417458282	127.38779211192714	-3.364096825256365	-1.304081484762876	0.7705132428551494	-0.17495950573335176	0.411319565643831	5.013266592675678
79	-22.260764477579745	127.36965906941496	-3.3566888116545934	-1.2539232181467233	0.7901550124578116	-0.14852290781853025	0.4248012484436272	5.077539241299725
80	-22.183633817873027	127.35280787457776	-3.3506594615396432	-1.2025274807022066	0.8090169944597241	-0.12121980644225659	0.40639674610156584	5.141811889923772
81	-22.109671152637787	127.33711543397953	-3.345951863962283	-1.1499449938171014	0.8270805743618858	-0.09509961117811469	0.38657601458062263	5.2060845385478185
82	-22.038980734537496	127.32246467415126	-3.3424268241732524	-1.0962276500576047	0.8443279255917747	-0.07025334682648994	0.7773939592950275	5.270357187171865
83	-21.971657102114605	127.30875902127102	-3.339947808413525	-1.0414284619566367	0.8607420270960242	-0.020288178038264087	10.210711307554002	5.334629835795912
84	-21.907786075365905	127.29592106173718	-3.339268716930116	-0.9856015096968666	0.876306680138148	0.6359812820337357	-0.34116419228020817	5.398902484419959
85	-21.847461178818808	127.28383848324216	-3.36265384811329	-0.9288018877401085	0.891006524284736	0.6140537557802032	-6.320169911348173	5.463175133044006
86	-21.79100725766753	127.27115137073747	-3.3836959892853358	-0.8710856504557325	0.9048270525643494	0.20783969582384904	-6.929552223052647	5.5274477816680525
87	-21.73845950229753	127.25817485227441	-3.3895993975838294	-0.8125097568017751	0.9177546257841476	-0.23754097933039617	-5.32895638145282	5.591720430292099
88	-21.689679330336066	127.2458227477057	-3.3832775929496215	-0.7531320141133219	0.9297764859901273	-0.5800471203683852	-3.410018031573901	5.655993078916146
89	-21.644563210165142	127.23470147587008	-3.3674189899701674	-0.6930110210536448	0.9408807690576818	-0.7992180111133983	-2.1261608159367684	5.720265727540193
90	-21.603066472185834	127.22516780124494	-3.3445239377334235	-0.6322061097844011	0.9510565164000596	-0.9358719981543189	-1.353072448168558	5.78453837616424
91	-21.56520302165679	127.2173768816104	-3.316945250616804	-0.5707772874119502	0.9602936857831658	-1.0228375481783354	-0.8707872432596526	5.8488110247882865
92	-21.531032284178092	127.21132277484328	-3.286890068271786	-0.5087851767675824	0.9685831612360364	-1.0788053506906654	-0.5459860682518035	5.913083673412333
93	-21.50064070249349	127.20687561731252	-3.256382487685797	-0.44629095658010903	0.9759167620471995	-1.1138973214090384	-0.303096540768122	5.97735632203638
94	-21.474122969697724	127.2038182105027	-3.2272076095340116	-0.38335630109983676	0.9822872508380505	-1.133378138872992	-0.08977306576743652	6.041628970660427
95	-21.451566724360497	127.20188232627966	-3.200862734282403	-0.32004331923353424	0.9876883407052712	-1.1391480915849659	0.15482969578567632	6.105901619284474
96	-21.4330428337634	127.20078312634564	-3.1785339754848443	-0.25641449325043747	0.992114701425244	-1.129196776951165	0.5753804080445067	6.1701742679085205
97	-21.41860162143351	127.20024940606785	-3.1611030665753423	-0.1925326171197907	0.9955619647143391	-1.0922155541597598	1.8625163533839753	6.234446916532567
98	-21.408273903875408	127.20004788246204	-3.1491770993377712	-0.12846073454078624	0.9980267285398833	-0.9725066950221706	5.217438061273061	6.298719565156614
99	-21.40207489460983	127.20000086551104	-3.1431206422937246	-0.06426207672603762	0.9995065604775552	-0.6371681317922392	0.0	6.362992213780661
100	-21.399999237060747	127.19999769392729	-3.1415921209575752	0.0	0.0	-0.6371681317922392	0.0	6.427264862404721
